scenario_id,baseline_status,baseline_hard_validity_eligible,baseline_safety_failure_type,mappo_travel_time,baseline_travel_time,difference_mappo_minus_baseline,mappo_mean_completion,baseline_completion,mappo_collisions,baseline_collisions,mappo_blocked_zone_violations,baseline_blocked_zone_violations,mappo_native_sumo_safety_interventions,baseline_native_sumo_safety_interventions,baseline_unresolved_coordination_case
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_RIGHT"", ""N_IN_0_STRAIGHT"", ""W_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,293.8666666666667,140.8,153.06666666666666,2,3,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_RIGHT"", ""S_IN_0_LEFT"", ""W_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,243.86666666666665,142.0,101.86666666666665,2.3333333333333335,3,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_STRAIGHT"", ""N_IN_0_LEFT"", ""S_IN_0_LEFT"", ""W_IN_0_RIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,342.8933333333333,193.24,149.6533333333333,3,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_STRAIGHT"", ""N_IN_0_LEFT"", ""S_IN_0_LEFT"", ""W_IN_0_STRAIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,603.5066666666667,210.8,392.70666666666665,1.3333333333333333,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_STRAIGHT"", ""N_IN_0_LEFT"", ""S_IN_0_STRAIGHT"", ""W_IN_0_STRAIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,407.88,211.92000000000002,195.95999999999998,2.6666666666666665,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_STRAIGHT"", ""N_IN_0_LEFT"", ""W_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,300.41333333333336,148.44,151.97333333333336,2,3,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_STRAIGHT"", ""N_IN_0_RIGHT"", ""S_IN_0_LEFT"", ""W_IN_0_STRAIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,751.6133333333333,201.2,550.4133333333334,0.3333333333333333,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_STRAIGHT"", ""N_IN_0_STRAIGHT"", ""S_IN_0_STRAIGHT"", ""W_IN_0_STRAIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,601.9866666666667,202.64,399.3466666666667,1.3333333333333333,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_STRAIGHT"", ""N_IN_0_STRAIGHT"", ""W_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,451.68,146.68,305.0,1,3,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""N_IN_0_LEFT"", ""S_IN_0_LEFT"", ""W_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,300.88,152.12,148.76,2,3,0,0,0,0,0,0,False
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""N_IN_0_LEFT"", ""S_IN_0_RIGHT"", ""W_IN_0_RIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,140.88,140.88,0.0,3,3,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""N_IN_0_LEFT"", ""S_IN_0_RIGHT"", ""W_IN_0_STRAIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,300.0,152.48,147.52,2,3,0,0,0,0,0,0,False
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""N_IN_0_RIGHT"", ""S_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,194.84,400.0,-205.16,1.3333333333333333,0,0,0,0,0,0,0,False
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""N_IN_0_RIGHT"", ""S_IN_0_LEFT"", ""W_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,398.5466666666667,142.0,256.5466666666667,1.3333333333333333,3,0,0,0,0,0,0,True
